temperature_en_chiffre,humidity_en_chiffre,temperature_en_chiffre_2days_left,humidity_en_chiffre_2days_left,Wingspan_ft_without_winglets_sharklets,Wingspan_ft_with_winglets_sharklets,Length_ft,Tail_Height_at_OEW_ft,Wheelbase_ft,Cockpit_to_Main_Gear_ft,Main_Gear_Width_ft,STD,Type,Fluid,Water,OAT,OneStep Fluid,TwoStep I Fluid,TwoStep II Fluid,deicing_time_minutes,meteo_numerical,CARRIER_AEG,CARRIER_AHO,CARRIER_AP,CARRIER_ATL,CARRIER_BV,CARRIER_CAR,CARRIER_CCC,CARRIER_DC,CARRIER_EJM,CARRIER_EN,CARRIER_ENT,CARRIER_EUR,CARRIER_EW,CARRIER_EXC,CARRIER_FR,CARRIER_FRD,CARRIER_GA,CARRIER_GAC,CARRIER_GTI,CARRIER_IFM,CARRIER_IG,CARRIER_JDI,CARRIER_KLC,CARRIER_LH,CARRIER_LO,CARRIER_LP,CARRIER_LPR,CARRIER_LS,CARRIER_LX,CARRIER_NJE,CARRIER_OY,CARRIER_PL,CARRIER_ROY,CARRIER_SCH,CARRIER_SK,CARRIER_SRN,CARRIER_STR,CARRIER_SWT,CARRIER_TOY,CARRIER_UPS,CARRIER_USA,CARRIER_VJT,CARRIER_W6,CARRIER_WIL,CARRIER_WR,Month,Year
0.4,88,8.1,76,112.6,117.4,129.5,41.4,51.2,56.4,23.0,1578813000.0,1,166,158,-1.0,5,0,0,13.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2020
0.4,88,8.1,76,112.6,117.4,129.5,41.4,51.2,56.4,23.0,1578814800.0,1,162,159,-2.0,5,0,0,5.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2020
0.1,87,8.0,76,112.6,117.4,129.5,41.4,51.2,56.4,23.0,1578817500.0,1,115,114,-2.0,5,0,0,4.0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2020
0.5,91,0.4,90,81.5,0.0,118.8,24.1,56.8,56.8,16.4,1578984900.0,1,97,93,0.0,5,0,0,57.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2020
-0.3,95,5.7,52,93.3,0.0,107.8,27.4,45.8,45.8,31.4,1579239600.0,1,87,87,-1.0,5,0,0,8.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2020
-0.3,95,5.7,52,81.5,0.0,118.8,24.1,56.8,56.8,16.4,1579240200.0,1,96,91,-1.0,5,0,0,8.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2020
-0.3,94,6.4,48,111.9,117.5,123.3,39.6,41.5,50.2,29.4,1579241400.0,1,133,131,-1.0,5,0,0,8.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2020
-0.3,94,6.4,48,111.9,117.5,123.3,39.6,41.5,50.2,29.4,1579242300.0,1,117,117,-1.0,5,0,0,7.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2020
-0.3,94,6.4,48,112.6,117.4,129.5,41.4,51.2,56.4,23.0,1579243500.0,1,152,153,-2.0,5,0,0,8.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2020
-0.3,94,6.4,48,81.5,0.0,118.8,24.1,56.8,56.8,16.4,1579244100.0,1,129,128,-1.0,5,0,0,7.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2020
